Energy,Magnetization
-3452.0,-30.0
-3876.0,-26.0
-4188.0,182.0
-4384.0,70.0
-4288.0,358.0
-4060.0,438.0
-4440.0,334.0
-4408.0,208.0
-4464.0,224.0
-4204.0,-72.0
-4160.0,32.0
-4080.0,-58.0
-4524.0,74.0
-4244.0,184.0
-4804.0,212.0
-4380.0,102.0
-4328.0,42.0
-4056.0,-56.0
-4196.0,-128.0
-4324.0,-324.0
-4092.0,-214.0
-4196.0,-190.0
-4340.0,26.0
-4544.0,36.0
-4384.0,30.0
-4376.0,100.0
-4168.0,166.0
-3920.0,214.0
-4332.0,246.0
-4480.0,-10.0
-4196.0,-2.0
-4052.0,128.0
-4036.0,2.0
-4280.0,-124.0
-4408.0,-46.0
-4188.0,-182.0
-4300.0,-132.0
-4480.0,-114.0
-4256.0,-50.0
-4096.0,212.0
-3972.0,68.0
-4232.0,412.0
-4272.0,162.0
-4400.0,74.0
-3996.0,-104.0
-4140.0,-82.0
-4332.0,134.0
-4200.0,162.0
-4196.0,-8.0
-4412.0,-22.0
-4268.0,14.0
-4188.0,-158.0
-4224.0,-170.0
-4144.0,-78.0
-4012.0,-12.0
-4284.0,36.0
-4300.0,14.0
-4316.0,-32.0
-4440.0,62.0
-4496.0,252.0
-4276.0,126.0
-4400.0,60.0
-4464.0,-104.0
-4396.0,112.0
-4292.0,-72.0
-4128.0,-204.0
-4248.0,-336.0
-4444.0,-462.0
-4444.0,-22.0
-4100.0,-126.0
-4056.0,-34.0
-4080.0,176.0
-4056.0,102.0
-4032.0,190.0
-4184.0,54.0
-4632.0,190.0
-4168.0,134.0
-4232.0,214.0
-4060.0,40.0
-4576.0,150.0
-4360.0,70.0
-4224.0,58.0
-4144.0,36.0
-4376.0,-150.0
-4408.0,64.0
-4232.0,180.0
-4492.0,6.0
-4332.0,-42.0
-4268.0,160.0
-4416.0,388.0
-4352.0,362.0
-4404.0,90.0
-4544.0,212.0
-4092.0,186.0
-4256.0,278.0
-4056.0,114.0
-4460.0,206.0
-4416.0,212.0
-3992.0,92.0
-4184.0,20.0
-4312.0,-70.0
-3980.0,-112.0
-3968.0,20.0
-4260.0,-14.0
-4208.0,32.0
-4236.0,-126.0
-4188.0,76.0
-4096.0,-28.0
-4216.0,38.0
-4056.0,-82.0
-4568.0,-170.0
-4500.0,-126.0
-4384.0,-122.0
-4312.0,-6.0
-4160.0,-108.0
-4404.0,20.0
-4336.0,128.0
-4312.0,152.0
-4176.0,-40.0
-4484.0,-114.0
-4048.0,-58.0
-4456.0,24.0
-4592.0,24.0
-4368.0,-380.0
-4184.0,-232.0
-4164.0,0.0
-4056.0,182.0
-4020.0,-196.0
-4220.0,-244.0
-4176.0,-218.0
-3984.0,-230.0
-4344.0,-114.0
-4396.0,16.0
-4428.0,6.0
-4328.0,66.0
-3960.0,8.0
-4360.0,56.0
-4136.0,130.0
-4340.0,272.0
-4248.0,-54.0
-4056.0,-52.0
-4128.0,104.0
-4204.0,18.0
-4188.0,6.0
-4372.0,74.0
-4096.0,138.0
-3928.0,-10.0
-4144.0,60.0
-4224.0,98.0
-4460.0,-102.0
-4492.0,36.0
-4152.0,8.0
-4440.0,126.0
-4292.0,-2.0
-4224.0,222.0
-4296.0,180.0
-4184.0,24.0
-4096.0,246.0
-4380.0,210.0
-4292.0,176.0
-4168.0,84.0
-4368.0,76.0
-4276.0,-40.0
-4092.0,44.0
-4604.0,-240.0
-4392.0,-150.0
-4360.0,-240.0
-4224.0,-284.0
-4404.0,-62.0
-4488.0,-102.0
-4136.0,-60.0
-4068.0,-134.0
-4052.0,-78.0
-4324.0,122.0
-4184.0,-58.0
-4176.0,-170.0
-4048.0,116.0
-4092.0,28.0
-4348.0,-196.0
-4108.0,-342.0
-4404.0,-252.0
-4388.0,-156.0
-4440.0,-164.0
-4500.0,-186.0
-4420.0,-62.0
-4496.0,26.0
-4312.0,190.0
-4168.0,184.0
-4228.0,104.0
-4292.0,-108.0
-4372.0,-66.0
-4388.0,-112.0
-4264.0,-134.0
-4480.0,-130.0
-4340.0,-70.0
-4232.0,-92.0
-4156.0,-276.0
-3972.0,-274.0
-4192.0,82.0
-4292.0,-22.0
-4288.0,-120.0
-4220.0,-16.0
-4184.0,0.0
-4272.0,-348.0
-4108.0,-148.0
-4256.0,-224.0
-4396.0,-244.0
-4328.0,-218.0
-4340.0,-216.0
-4188.0,-154.0
-4068.0,52.0
-4432.0,60.0
-4440.0,218.0
-4216.0,220.0
-4416.0,108.0
-4564.0,98.0
-4292.0,-188.0
-4116.0,-262.0
